"GSM","Title","Group_orig"
"GSM1411057","kidney_G01_Control_rep1","Sex: male"
"GSM1411058","kidney_G01_Control_rep2","Sex: male"
"GSM1411059","kidney_G01_Control_rep3","Sex: male"
"GSM1411060","kidney_G01_Control_rep4","Sex: male"
"GSM1411061","kidney_G01_Control_rep5","Sex: male"
"GSM1411062","kidney_G02_injSaline-003h_rep1","Sex: male"
"GSM1411063","kidney_G02_injSaline-003h_rep2","Sex: male"
"GSM1411064","kidney_G02_injSaline-003h_rep3","Sex: male"
"GSM1411065","kidney_G02_injSaline-003h_rep4","Sex: male"
"GSM1411066","kidney_G02_injSaline-003h_rep5","Sex: male"
"GSM1411067","kidney_G03_injSaline-024h_rep1","Sex: male"
"GSM1411068","kidney_G03_injSaline-024h_rep2","Sex: male"
"GSM1411069","kidney_G03_injSaline-024h_rep3","Sex: male"
"GSM1411070","kidney_G03_injSaline-024h_rep4","Sex: male"
"GSM1411071","kidney_G04_injSaline-120h_rep1","Sex: male"
"GSM1411072","kidney_G04_injSaline-120h_rep2","Sex: male"
"GSM1411073","kidney_G04_injSaline-120h_rep3","Sex: male"
"GSM1411074","kidney_G04_injSaline-120h_rep4","Sex: male"
"GSM1411075","kidney_G04_injSaline-120h_rep5","Sex: male"
"GSM1411076","kidney_G05_injVPA-003h_rep1","Sex: male"
"GSM1411077","kidney_G05_injVPA-003h_rep2","Sex: male"
"GSM1411078","kidney_G05_injVPA-003h_rep3","Sex: male"
"GSM1411079","kidney_G05_injVPA-003h_rep4","Sex: male"
"GSM1411080","kidney_G05_injVPA-003h_rep5","Sex: male"
"GSM1411081","kidney_G06_injVPA-024h_rep1","Sex: male"
"GSM1411082","kidney_G06_injVPA-024h_rep2","Sex: male"
"GSM1411083","kidney_G06_injVPA-024h_rep3","Sex: male"
"GSM1411084","kidney_G06_injVPA-024h_rep4","Sex: male"
"GSM1411085","kidney_G06_injVPA-024h_rep5","Sex: male"
"GSM1411086","kidney_G07_injVPA-120h_rep1","Sex: male"
"GSM1411087","kidney_G07_injVPA-120h_rep2","Sex: male"
"GSM1411088","kidney_G07_injVPA-120h_rep3","Sex: male"
"GSM1411089","kidney_G07_injVPA-120h_rep4","Sex: male"
"GSM1411090","kidney_G08_injDEX-003h_rep1","Sex: male"
"GSM1411091","kidney_G08_injDEX-003h_rep2","Sex: male"
"GSM1411092","kidney_G08_injDEX-003h_rep3","Sex: male"
"GSM1411093","kidney_G08_injDEX-003h_rep4","Sex: male"
"GSM1411094","kidney_G09_injDEX-024h_rep1","Sex: male"
"GSM1411095","kidney_G09_injDEX-024h_rep2","Sex: male"
"GSM1411096","kidney_G09_injDEX-024h_rep3","Sex: male"
"GSM1411097","kidney_G09_injDEX-024h_rep4","Sex: male"
"GSM1411098","kidney_G09_injDEX-024h_rep5","Sex: male"
"GSM1411099","kidney_G10_injDEX-120h_rep1","Sex: male"
"GSM1411100","kidney_G10_injDEX-120h_rep2","Sex: male"
"GSM1411101","kidney_G10_injDEX-120h_rep3","Sex: male"
"GSM1411102","kidney_G10_injDEX-120h_rep4","Sex: male"
