"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"rno00190","Oxidative phosphorylation",119,-0.69962462604636,-2.90242732256117,1e-10,2.32666666666667e-09,7.90558574061422e-10,3267,"tags=66%, list=18%, signal=54%","362897/691853/289218/300677/171082/299643/681024/310856/293448/303393/171335/309391/81728/289407/299310/366448/499529/103693419/54322/83615/94271/100912357/361663/65262/116550/436582/293453/64539/100911483/25282/116664/295923/94170/362344/245958/29754/171375/293991/171374/294964/157074/300047/297990/293655/315167/291969/362440/289217/301427/297566/94194/291660/192241/297932/362588/293130/368044/296981/288088/298596/301011/301458/681418/689938/362802/293652/25488/690848/688869/296658/361385/312488/297797/690441/363061/301123/362837/245965",NA
"rno03008","Ribosome biogenesis in eukaryotes",79,0.68149100091922,2.68862923647609,1e-10,2.32666666666667e-09,7.90558574061422e-10,2935,"tags=63%, list=16%, signal=53%","362498/290556/291317/100861534/309301/305506/114300/751812/362214/362703/499709/310019/60373/24723/308201/362593/361262/303456/690297/85252/84509/307641/293828/287120/287273/317579/300092/313167/363563/102238592/292747/312706/291061/291996/296219/299198/291571/300689/310720/311257/291987/361935/314545/360574/24720/685332/170944/315705/291071/362967",NA
"rno03050","Proteasome",46,0.728144171170283,2.57625871666113,1.16252699066736e-10,2.53576199839319e-09,8.61605325046789e-10,3868,"tags=85%, list=21%, signal=67%","29670/307821/29673/58854/289990/292766/94198/29675/288455/83806/287670/117262/303353/289924/311078/29614/29668/117263/81827/65138/24968/287984/24967/29677/25581/365388/291983/29672/287772/83499/287716/29666/161475/29671/498433/29674/29676/29669/290206",0.839088935621274
"rno00280","Valine, leucine and isoleucine degradation",52,-0.699045529246289,-2.53248947778657,1.59481194496752e-10,3.27405511055096e-09,1.11246375627321e-09,1728,"tags=56%, list=9%, signal=51%","316421/361884/81708/64040/690163/64304/25014/29711/25244/293829/298942/361215/24513/171155/63938/140547/24624/171142/63864/64203/113965/687008/170465/24158/294972/688517/25618/29611/301384",0.826657301178302
"rno04146","Peroxisome",83,-0.616514086942252,-2.45853613039488,3.96421845736534e-10,7.28164337695002e-09,2.47416859809688e-09,3438,"tags=60%, list=19%, signal=49%","288369/100362572/29533/79238/25541/685325/85249/24157/24479/289233/65030/500006/25288/64461/297570/170588/24786/266686/114027/311203/114209/79244/50681/113956/361413/85239/84029/305581/65192/83522/252898/113898/25270/282634/24248/25284/291076/297029/367323/171142/85255/64526/83842/312703/116718/361596/308718/311849/291075/680424",0.814035837847908
"rno05169","Epstein-Barr virus infection",205,0.547461979588708,2.43675077043616,1e-10,2.32666666666667e-09,7.90558574061422e-10,3790,"tags=53%, list=20%, signal=43%","24577/100360982/25125/309452/81736/365527/307821/306886/499400/24887/309165/414789/316241/314856/245920/24988/25464/25513/64044/289990/24835/84598/292766/246097/414793/414779/24811/83806/287670/81515/24812/414819/25406/81818/117262/303353/289924/84351/25402/301059/114483/311078/24842/299626/114851/117263/25729/81827/499356/65138/78963/116554/291105/116502/287984/362817/287398/414783/297602/368153/362485/25272/24185/294790/29677/313121/114494/25581/310553/363875/360640/308995/399489/365388/414791/64033/414784/24751/287772/83499/25112/84576/29414/246268/29468/299827/311786/171075/303200/94201/64202/305896/24498/24223/25217/300177/361787/298693/156726/24973/689314/297893/54287/25155/64625/367901/362788/362268/366508",NA
"rno01210","2-Oxocarboxylic acid metabolism",33,-0.735912792817626,-2.38461000676653,4.38740073121643e-08,4.13838609512036e-07,1.40614754023236e-07,2511,"tags=70%, list=14%, signal=60%","24479/83784/25179/24401/81654/81670/360975/361272/29711/25244/114096/300981/298942/79250/299201/29416/50655/64203/289950/94173/29554/361596/29611",0.719512826338911
"rno05203","Viral carcinogenesis",193,0.531686324056998,2.37434899897445,1e-10,2.32666666666667e-09,7.90558574061422e-10,4787,"tags=59%, list=26%, signal=44%","25205/25125/317335/309452/81736/365527/56010/79255/297604/501099/499400/24887/309165/25576/81634/414789/314856/24988/25513/64044/84598/24525/289014/360739/414793/414779/24605/680312/81515/25597/414819/360820/25402/689030/114483/293621/24842/361580/114851/140583/114090/117263/25578/25729/362165/83805/64647/116502/363287/24829/362817/500131/414783/691488/368153/298400/362485/294790/294230/361247/114494/363875/414791/102549061/64033/414784/24751/117273/84576/406169/64465/311786/94201/305896/54237/680111/100912338/307842/361787/25630/24973/83828/297893/64627/64635/54287/25155/64470/362788/362268/366508/84582/309607/116590/294693/492821/362938/297173/25326/24750/24232/414792/25577/64515/305584/81504/303539/306969/58919/314638/288651/24516/24747/680842",NA
"rno00020","Citrate cycle (TCA cycle)",31,-0.732780608256771,-2.36873232058277,1.04330117782524e-07,9.10280277652524e-07,3.09296509296797e-07,2962,"tags=77%, list=16%, signal=65%","362282/24368/25104/362404/24479/25179/81654/24551/360975/361071/157074/81829/114096/289217/298942/79250/299201/298596/50655/289950/94173/29554/361596/363061",0.704975715167238
"rno05417","Lipid and atherosclerosis",197,0.522501325381582,2.34252579710522,1e-10,2.32666666666667e-09,7.90558574061422e-10,3954,"tags=47%, list=21%, signal=38%","25625/25125/300438/81736/301252/79255/25537/25542/266759/24887/309165/25361/24514/29748/81503/54318/25464/25513/64044/140914/24835/24525/364018/246097/24605/83619/448830/81515/60350/363328/25544/299331/54225/84351/25402/301059/293621/680127/24842/25400/24468/24787/29260/83805/25166/24888/78963/171337/116554/287398/171140/25272/24185/313121/81687/25385/310553/363875/500904/24472/25651/24600/498013/25156/117273/29414/299827/64465/311786/24246/303200/362862/29467/24674/24498/300177/29322/64026/171045/50663/689314/24242/287562/64625/29197/362788/366508/114105/171068/25080/116590/63868/84027",NA
