"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-RNO-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",119,0.816105807237929,3.42126840211224,1e-10,1.79824561403509e-09,8.07653114304537e-10,2935,"tags=91%, list=16%, signal=77%","290556/291317/122772/192180/363134/64307/362214/362703/310019/305258/60373/64462/308201/64640/81766/296596/317399/161477/359727/29257/81764/305076/690297/294282/81774/81776/360552/103689992/293828/303608/499782/81763/29282/29286/361977/64298/117053/29236/29258/85432/361159/287120/300092/313167/140661/292747/100912032/312706/289809/300050/298065/83789/124323/81775/291434/64302/94266/81768/117042/140655/26962/81765/314713/293418/291061/29287/29304/362631/291996/81769/29283/299198/65136/100910714/290641/360828/27139/64306/289740/140654/64205/122799/363237/361923/81729/291987/81767/100362640/28298/81770/245981/361452/300079/25348/368084/314617/288647/314830/366017/691531/296709/29284/25347/315705/140662/29288/291071/362967",NA
"R-RNO-72312","rRNA processing",119,0.816105807237929,3.42126840211224,1e-10,1.79824561403509e-09,8.07653114304537e-10,2935,"tags=91%, list=16%, signal=77%","290556/291317/122772/192180/363134/64307/362214/362703/310019/305258/60373/64462/308201/64640/81766/296596/317399/161477/359727/29257/81764/305076/690297/294282/81774/81776/360552/103689992/293828/303608/499782/81763/29282/29286/361977/64298/117053/29236/29258/85432/361159/287120/300092/313167/140661/292747/100912032/312706/289809/300050/298065/83789/124323/81775/291434/64302/94266/81768/117042/140655/26962/81765/314713/293418/291061/29287/29304/362631/291996/81769/29283/299198/65136/100910714/290641/360828/27139/64306/289740/140654/64205/122799/363237/361923/81729/291987/81767/100362640/28298/81770/245981/361452/300079/25348/368084/314617/288647/314830/366017/691531/296709/29284/25347/315705/140662/29288/291071/362967",NA
"R-RNO-8868773","rRNA processing in the nucleus and cytosol",119,0.816105807237929,3.42126840211224,1e-10,1.79824561403509e-09,8.07653114304537e-10,2935,"tags=91%, list=16%, signal=77%","290556/291317/122772/192180/363134/64307/362214/362703/310019/305258/60373/64462/308201/64640/81766/296596/317399/161477/359727/29257/81764/305076/690297/294282/81774/81776/360552/103689992/293828/303608/499782/81763/29282/29286/361977/64298/117053/29236/29258/85432/361159/287120/300092/313167/140661/292747/100912032/312706/289809/300050/298065/83789/124323/81775/291434/64302/94266/81768/117042/140655/26962/81765/314713/293418/291061/29287/29304/362631/291996/81769/29283/299198/65136/100910714/290641/360828/27139/64306/289740/140654/64205/122799/363237/361923/81729/291987/81767/100362640/28298/81770/245981/361452/300079/25348/368084/314617/288647/314830/366017/691531/296709/29284/25347/315705/140662/29288/291071/362967",NA
"R-RNO-156827","L13a-mediated translational silencing of Ceruloplasmin expression",85,0.805646157871385,3.24659279370504,1e-10,1.79824561403509e-09,8.07653114304537e-10,2736,"tags=89%, list=15%, signal=77%","317163/122772/64307/287436/64640/81766/292148/299899/54318/296596/691947/161477/29257/81764/294282/81774/81776/103689992/499782/81763/29282/29286/117045/64298/117053/288516/29236/171350/29258/288599/140661/100912032/293484/83789/124323/362952/81775/291434/682390/64302/94266/81768/117042/140655/26962/81765/293418/29287/29304/362631/81769/29283/65136/100910714/290641/27139/64306/140654/64205/122799/361923/81729/81767/100362640/28298/81770/245981/300079/25348/299872/298700/691531/296709/29284/25347/140662",NA
"R-RNO-72613","Eukaryotic Translation Initiation",92,0.796546971910803,3.21640953425898,1e-10,1.79824561403509e-09,8.07653114304537e-10,2736,"tags=87%, list=15%, signal=74%","317163/122772/64307/287436/108348073/64640/81766/292148/299899/54318/296596/691947/161477/171145/29257/81764/294282/81774/81776/116636/103689992/499782/81763/29282/29286/117045/64298/117053/288516/29236/171350/29258/288599/140661/100912032/293484/83789/124323/362952/81775/64514/291434/682390/64302/94266/81768/117042/140655/26962/81765/293418/29287/29304/362631/81769/29283/65136/100910714/290641/27139/64306/140654/64205/122799/361923/81729/81767/100362640/28298/81770/245981/300079/25348/299872/298700/691531/296709/29284/25347/140662",NA
"R-RNO-72737","Cap-dependent Translation Initiation",92,0.796546971910803,3.21640953425898,1e-10,1.79824561403509e-09,8.07653114304537e-10,2736,"tags=87%, list=15%, signal=74%","317163/122772/64307/287436/108348073/64640/81766/292148/299899/54318/296596/691947/161477/171145/29257/81764/294282/81774/81776/116636/103689992/499782/81763/29282/29286/117045/64298/117053/288516/29236/171350/29258/288599/140661/100912032/293484/83789/124323/362952/81775/64514/291434/682390/64302/94266/81768/117042/140655/26962/81765/293418/29287/29304/362631/81769/29283/65136/100910714/290641/27139/64306/140654/64205/122799/361923/81729/81767/100362640/28298/81770/245981/300079/25348/299872/298700/691531/296709/29284/25347/140662",NA
"R-RNO-72689","Formation of a pool of free 40S subunits",78,0.809909411409302,3.15930691523223,1e-10,1.79824561403509e-09,8.07653114304537e-10,2736,"tags=91%, list=15%, signal=78%","317163/122772/64307/64640/81766/292148/299899/296596/691947/161477/29257/81764/294282/81774/81776/103689992/499782/81763/29282/29286/64298/117053/288516/29236/29258/140661/100912032/293484/83789/124323/362952/81775/291434/682390/64302/94266/81768/117042/140655/26962/81765/293418/29287/29304/362631/81769/29283/65136/100910714/290641/27139/64306/140654/64205/122799/361923/81729/81767/100362640/28298/81770/245981/300079/25348/299872/298700/691531/296709/29284/25347/140662",NA
"R-RNO-8953854","Metabolism of RNA",388,0.636854818475291,3.0973590947405,1e-10,1.79824561403509e-09,8.07653114304537e-10,3691,"tags=62%, list=20%, signal=51%","290556/291317/122772/117104/79227/192180/29670/363134/291794/298385/307503/64307/362214/362703/310019/53372/89827/305258/60373/296651/29673/64462/287436/117017/308201/64640/81766/296596/317399/161477/359727/29257/81764/25497/362687/289990/305076/690297/292766/94198/85252/294282/29675/81774/289014/307947/81776/360552/103689992/293828/295692/303608/363854/64200/684558/499782/684148/81763/29282/361545/290284/83806/29286/287670/117045/113975/361977/64298/117053/29236/171350/29258/171365/85432/295284/361159/681031/307474/287113/287120/300092/313167/117262/289924/140661/292747/29578/100912032/312706/289809/366016/300050/298065/83789/124323/81775/291434/64302/94266/311078/81768/117042/680737/140655/301432/64301/26962/81765/314713/309651/24468/293418/291061/29287/29304/362631/291996/296219/29614/81769/29497/29668/29283/299198/65136/117263/25578/310769/290614/100910714/290641/360828/27139/64306/494445/81827/499974/292019/289740/292729/140654/64205/122799/24968/117259/363237/287984/289315/289693/680891/361923/81729/317385/291987/316123/81767/60376/100362640/28298/24185/65274/24967/81770/29677/305479/361109/245981/501688/299620/292536/25581/117021/691231/245922/361452/365388/24472/291983/297455/291295/300079/25348/362361/287772/83499/368084/362394/314617/288647/314830/366017/691531/296709/29284/365215/501582/81738/25347/192255/246216/295270/315705/140662/362153/363005/287830/291874/362281/81635/89819/80846/307410/29288/291071/362967/313583/29666/161475/362630/364382/58958/79256/362557/502603/29285/361035/297695/296913/29671/29344/81773/84389/302557/29676/291877/290519/304277/114612/361574/29669/498934/313131",NA
"R-RNO-1799339","SRP-dependent cotranslational protein targeting to membrane",71,0.796701209821135,3.09145819237612,1e-10,1.79824561403509e-09,8.07653114304537e-10,2906,"tags=89%, list=16%, signal=75%","122772/64307/64640/81766/296596/161477/29257/81764/294282/81774/81776/103689992/499782/81763/29282/29286/64298/117053/29236/29258/140661/100912032/83789/124323/81775/291434/64302/94266/81768/117042/140655/26962/81765/293418/29287/29304/362631/81769/29283/65136/100910714/290641/27139/64306/140654/64205/122799/361923/81729/81767/100362640/28298/81770/245981/300079/25348/363707/691531/296709/29284/25347/140662/29288",NA
"R-RNO-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",74,0.783963409412523,3.04922694633647,1e-10,1.79824561403509e-09,8.07653114304537e-10,2736,"tags=88%, list=15%, signal=75%","122772/307503/64307/64640/81766/296596/161477/29257/81764/294282/81774/81776/103689992/684558/499782/81763/29282/29286/64298/117053/29236/171350/29258/140661/100912032/83789/124323/81775/291434/64302/94266/81768/117042/140655/26962/81765/293418/29287/29304/362631/81769/29283/65136/100910714/290641/27139/64306/140654/64205/122799/361923/81729/81767/100362640/28298/81770/245981/300079/25348/691531/296709/29284/501582/25347/140662",NA
"R-RNO-927802","Nonsense-Mediated Decay (NMD)",88,0.760341701174094,3.0350758176926,1e-10,1.79824561403509e-09,8.07653114304537e-10,2736,"tags=81%, list=15%, signal=69%","122772/117104/298385/307503/64307/64640/81766/296596/161477/29257/81764/294282/81774/81776/103689992/684558/499782/81763/29282/29286/64298/117053/29236/171350/29258/295284/287113/140661/100912032/83789/124323/81775/291434/64302/94266/81768/117042/140655/26962/81765/293418/29287/29304/362631/81769/29283/65136/100910714/290641/27139/64306/140654/64205/122799/361923/81729/81767/100362640/28298/81770/361109/245981/300079/25348/691531/296709/29284/365215/501582/25347/140662",NA
"R-RNO-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",88,0.760341701174094,3.0350758176926,1e-10,1.79824561403509e-09,8.07653114304537e-10,2736,"tags=81%, list=15%, signal=69%","122772/117104/298385/307503/64307/64640/81766/296596/161477/29257/81764/294282/81774/81776/103689992/684558/499782/81763/29282/29286/64298/117053/29236/171350/29258/295284/287113/140661/100912032/83789/124323/81775/291434/64302/94266/81768/117042/140655/26962/81765/293418/29287/29304/362631/81769/29283/65136/100910714/290641/27139/64306/140654/64205/122799/361923/81729/81767/100362640/28298/81770/361109/245981/300079/25348/691531/296709/29284/365215/501582/25347/140662",NA
"R-RNO-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",68,0.801415004933692,3.02897153880321,1e-10,1.79824561403509e-09,8.07653114304537e-10,2906,"tags=91%, list=16%, signal=77%","122772/64307/64640/81766/296596/161477/29257/81764/294282/81774/81776/103689992/499782/81763/29282/29286/64298/117053/29236/29258/140661/100912032/83789/124323/81775/291434/64302/94266/81768/117042/140655/26962/81765/293418/29287/29304/362631/81769/29283/65136/100910714/290641/27139/64306/140654/64205/122799/361923/81729/81767/100362640/28298/81770/245981/300079/25348/691531/296709/29284/25347/140662/29288",NA
"R-RNO-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",48,0.804025582297485,2.90309190131927,1e-10,1.79824561403509e-09,8.07653114304537e-10,3407,"tags=96%, list=18%, signal=78%","317163/122772/287436/292148/299899/54318/691947/161477/294282/81774/81776/116636/103689992/29286/117045/117053/288516/29236/171350/29258/288599/100912032/293484/83789/124323/362952/81775/682390/94266/140655/29287/29304/65136/27139/140654/122799/100362640/25348/299872/298700/691531/29284/29288/29285/293427/81773",NA
"R-RNO-72702","Ribosomal scanning and start codon recognition",47,0.803740317685584,2.82947819390938,1e-10,1.79824561403509e-09,8.07653114304537e-10,3407,"tags=96%, list=18%, signal=78%","317163/122772/287436/108348073/292148/299899/54318/691947/161477/294282/81774/81776/103689992/29286/117045/117053/288516/29236/29258/288599/100912032/293484/83789/124323/362952/81775/682390/94266/140655/29287/29304/65136/27139/140654/122799/100362640/25348/299872/298700/691531/29284/29288/29285/293427/81773",NA
"R-RNO-72649","Translation initiation complex formation",47,0.803644395721012,2.82914051132571,1e-10,1.79824561403509e-09,8.07653114304537e-10,3407,"tags=96%, list=18%, signal=78%","317163/122772/287436/292148/299899/54318/691947/161477/294282/81774/81776/103689992/29286/117045/117053/288516/29236/171350/29258/288599/100912032/293484/83789/124323/362952/81775/682390/94266/140655/29287/29304/65136/27139/140654/122799/100362640/25348/299872/298700/691531/29284/29288/29285/293427/81773",NA
"R-RNO-72695","Formation of the ternary complex, and subsequently, the 43S complex",42,0.809846912767134,2.81343407317342,1e-10,1.79824561403509e-09,8.07653114304537e-10,3407,"tags=98%, list=18%, signal=80%","317163/122772/292148/299899/54318/691947/161477/294282/81774/81776/103689992/29286/117053/288516/29236/29258/100912032/293484/83789/124323/362952/81775/682390/94266/140655/29287/29304/65136/27139/140654/122799/100362640/25348/299872/298700/691531/29284/29288/29285/293427/81773",NA
"R-RNO-68882","Mitotic Anaphase",151,0.639663889633621,2.78626200489171,1e-10,1.79824561403509e-09,8.07653114304537e-10,3732,"tags=66%, list=20%, signal=53%","498736/117104/29670/291081/362965/296651/29673/307351/289990/246118/292766/94198/85252/84509/29675/300218/295692/83806/287670/113975/296554/117262/289924/100912032/366016/24917/305343/114764/29648/257644/94266/311078/29614/29668/292588/117263/306464/81827/313478/307805/500929/291441/24968/317252/83572/287984/361416/64158/25573/307833/24967/304477/29677/116685/297176/316531/25581/117021/25437/365388/25448/291983/684771/362548/303037/287772/83499/114592/64041/363198/316425/81655/81738/192255/287830/291874/361389/25515/54237/286993/29666/161475/171576/58945/315164/362557/295661/296368/29671/296137/360643/29676/25203/304951/363193/29669/500545/63996/114087",NA
