fromId,toId,combined_score,fromSymbol,toSymbol
10116.ENSRNOP00000005872,10116.ENSRNOP00000041821,760,Rps27a,Eef2
10116.ENSRNOP00000005872,10116.ENSRNOP00000060662,965,Rps27a,Rpl3
10116.ENSRNOP00000005872,10116.ENSRNOP00000013462,985,Rps27a,Rpl4
10116.ENSRNOP00000005872,10116.ENSRNOP00000074031,744,Rps27a,Tp53
10116.ENSRNOP00000005872,10116.ENSRNOP00000024326,409,Rps27a,Mrto4
10116.ENSRNOP00000013462,10116.ENSRNOP00000040878,550,Rpl4,Gapdh
10116.ENSRNOP00000013462,10116.ENSRNOP00000060662,999,Rpl4,Rpl3
10116.ENSRNOP00000013462,10116.ENSRNOP00000041821,998,Rpl4,Eef2
10116.ENSRNOP00000013462,10116.ENSRNOP00000024326,914,Rpl4,Mrto4
10116.ENSRNOP00000013462,10116.ENSRNOP00000072672,683,Rpl4,Actb
10116.ENSRNOP00000013732,10116.ENSRNOP00000038369,932,Il6,Akt1
10116.ENSRNOP00000013732,10116.ENSRNOP00000074031,819,Il6,Tp53
10116.ENSRNOP00000013732,10116.ENSRNOP00000072672,873,Il6,Actb
10116.ENSRNOP00000013732,10116.ENSRNOP00000040878,909,Il6,Gapdh
10116.ENSRNOP00000024326,10116.ENSRNOP00000060662,914,Mrto4,Rpl3
10116.ENSRNOP00000024326,10116.ENSRNOP00000041821,821,Mrto4,Eef2
10116.ENSRNOP00000038369,10116.ENSRNOP00000074031,994,Akt1,Tp53
10116.ENSRNOP00000038369,10116.ENSRNOP00000041821,706,Akt1,Eef2
10116.ENSRNOP00000038369,10116.ENSRNOP00000040878,935,Akt1,Gapdh
10116.ENSRNOP00000038369,10116.ENSRNOP00000072672,909,Akt1,Actb
10116.ENSRNOP00000040878,10116.ENSRNOP00000074031,821,Gapdh,Tp53
10116.ENSRNOP00000040878,10116.ENSRNOP00000072672,936,Gapdh,Actb
10116.ENSRNOP00000040878,10116.ENSRNOP00000060662,464,Gapdh,Rpl3
10116.ENSRNOP00000040878,10116.ENSRNOP00000041821,743,Gapdh,Eef2
10116.ENSRNOP00000041821,10116.ENSRNOP00000074031,660,Eef2,Tp53
10116.ENSRNOP00000041821,10116.ENSRNOP00000072672,676,Eef2,Actb
10116.ENSRNOP00000041821,10116.ENSRNOP00000060662,995,Eef2,Rpl3
10116.ENSRNOP00000060662,10116.ENSRNOP00000072672,457,Rpl3,Actb
10116.ENSRNOP00000072672,10116.ENSRNOP00000074031,861,Actb,Tp53
