fromId,toId,combined_score,fromSymbol,toSymbol
10116.ENSRNOP00000000018,10116.ENSRNOP00000075010,414,Steap1,Cp
10116.ENSRNOP00000000018,10116.ENSRNOP00000028545,471,Steap1,Hamp
10116.ENSRNOP00000000018,10116.ENSRNOP00000014326,439,Steap1,Tpbg
10116.ENSRNOP00000000036,10116.ENSRNOP00000025149,427,Tmcc2,Zpr1
10116.ENSRNOP00000000036,10116.ENSRNOP00000063855,498,Tmcc2,Rnf10
10116.ENSRNOP00000000036,10116.ENSRNOP00000023187,407,Tmcc2,Rhd
10116.ENSRNOP00000000036,10116.ENSRNOP00000057684,522,Tmcc2,Cenpk
10116.ENSRNOP00000000064,10116.ENSRNOP00000022571,413,Gak,Wdr77
10116.ENSRNOP00000000064,10116.ENSRNOP00000020854,610,Gak,Hspa14
10116.ENSRNOP00000000064,10116.ENSRNOP00000033120,642,Gak,Ralbp1
10116.ENSRNOP00000000064,10116.ENSRNOP00000059209,698,Gak,Eps15
10116.ENSRNOP00000000064,10116.ENSRNOP00000059744,609,Gak,Synj2
10116.ENSRNOP00000000064,10116.ENSRNOP00000061918,416,Gak,Pstpip1
10116.ENSRNOP00000000064,10116.ENSRNOP00000068794,477,Gak,Rnf2
10116.ENSRNOP00000000064,10116.ENSRNOP00000023628,808,Gak,Hspa4
10116.ENSRNOP00000000064,10116.ENSRNOP00000015178,425,Gak,Csnk1d
10116.ENSRNOP00000000064,10116.ENSRNOP00000074945,756,Gak,Numbl
10116.ENSRNOP00000000064,10116.ENSRNOP00000017573,430,Gak,Bin1
10116.ENSRNOP00000000064,10116.ENSRNOP00000039172,502,Gak,Hyou1
10116.ENSRNOP00000000064,10116.ENSRNOP00000070202,908,Gak,Ap2m1
10116.ENSRNOP00000000064,10116.ENSRNOP00000049629,492,Gak,Eif4g1
10116.ENSRNOP00000000064,10116.ENSRNOP00000071757,856,Gak,Bag5
10116.ENSRNOP00000000064,10116.ENSRNOP00000070616,530,Gak,Atxn2l
10116.ENSRNOP00000000064,10116.ENSRNOP00000017375,547,Gak,Dbnl
10116.ENSRNOP00000000064,10116.ENSRNOP00000029635,968,Gak,Hip1r
10116.ENSRNOP00000000064,10116.ENSRNOP00000067749,606,Gak,Hspa1a
10116.ENSRNOP00000000064,10116.ENSRNOP00000023651,923,Gak,Cltb
10116.ENSRNOP00000000064,10116.ENSRNOP00000018310,522,Gak,Txndc5
10116.ENSRNOP00000000064,10116.ENSRNOP00000074461,769,Gak,Epn2
10116.ENSRNOP00000000064,10116.ENSRNOP00000016948,526,Gak,Bag2
10116.ENSRNOP00000000064,10116.ENSRNOP00000015247,490,Gak,Atp13a1
10116.ENSRNOP00000000064,10116.ENSRNOP00000016016,486,Gak,Ccnl1
10116.ENSRNOP00000000064,10116.ENSRNOP00000072054,499,Gak,Bloc1s4
10116.ENSRNOP00000000064,10116.ENSRNOP00000019121,603,Gak,Rab32
10116.ENSRNOP00000000064,10116.ENSRNOP00000042159,843,Gak,Hspa8
10116.ENSRNOP00000000064,10116.ENSRNOP00000060346,730,Gak,Synj1
10116.ENSRNOP00000000064,10116.ENSRNOP00000028856,605,Gak,Hspa12b
10116.ENSRNOP00000000064,10116.ENSRNOP00000018467,480,Gak,Tle3
10116.ENSRNOP00000000064,10116.ENSRNOP00000021954,496,Gak,Cotl1
10116.ENSRNOP00000000064,10116.ENSRNOP00000009115,407,Gak,Ubr5
10116.ENSRNOP00000000074,10116.ENSRNOP00000035943,600,Fbxo28,Cnot11
10116.ENSRNOP00000000074,10116.ENSRNOP00000030051,569,Fbxo28,Marchf3
10116.ENSRNOP00000000074,10116.ENSRNOP00000064200,459,Fbxo28,Impact
10116.ENSRNOP00000000074,10116.ENSRNOP00000074788,429,Fbxo28,Skp2
10116.ENSRNOP00000000074,10116.ENSRNOP00000022170,443,Fbxo28,Nasp
10116.ENSRNOP00000000074,10116.ENSRNOP00000019770,429,Fbxo28,Katnb1
10116.ENSRNOP00000000074,10116.ENSRNOP00000075085,538,Fbxo28,Naa25
10116.ENSRNOP00000000083,10116.ENSRNOP00000010512,800,Tmed5,Tmed10
10116.ENSRNOP00000000083,10116.ENSRNOP00000030668,865,Tmed5,Tmed9
10116.ENSRNOP00000000083,10116.ENSRNOP00000004878,422,Tmed5,Ubxn4
10116.ENSRNOP00000000083,10116.ENSRNOP00000063833,425,Tmed5,Wnt3a
10116.ENSRNOP00000000083,10116.ENSRNOP00000020419,482,Tmed5,Spryd7
10116.ENSRNOP00000000083,10116.ENSRNOP00000059050,425,Tmed5,Wnt8a
10116.ENSRNOP00000000083,10116.ENSRNOP00000066101,432,Tmed5,Wnt7a
10116.ENSRNOP00000000083,10116.ENSRNOP00000057009,505,Tmed5,Ptrh1
10116.ENSRNOP00000000180,10116.ENSRNOP00000026038,465,Alas2,Alox15
10116.ENSRNOP00000000180,10116.ENSRNOP00000028545,465,Alas2,Hamp
10116.ENSRNOP00000000180,10116.ENSRNOP00000046432,418,Alas2,Ormdl3
10116.ENSRNOP00000000180,10116.ENSRNOP00000068875,702,Alas2,Hbb-b1
