GeneSymbol_input,STRING_id,GeneSymbol_STRING
Tnfrsf12a,10116.ENSRNOP00000004843,Tnfrsf12a
Nfkbiz,10116.ENSRNOP00000073948,Nfkbiz
Tubb2a,10116.ENSRNOP00000071729,Tubb2a
Pvr,10116.ENSRNOP00000061458,Pvr
Il6st,10116.ENSRNOP00000018877,Il6st
Dmbt1,10116.ENSRNOP00000051793,Dmbt1
Osmr,10116.ENSRNOP00000039644,Osmr
Myc,10116.ENSRNOP00000006188,Myc
Mdn1,10116.ENSRNOP00000075047,Mdn1
Sbno2,10116.ENSRNOP00000071247,Sbno2
Plin2,10116.ENSRNOP00000009749,Plin2
Tars1,10116.ENSRNOP00000075146,Tars1
Socs3,10116.ENSRNOP00000003940,Socs3
Ptpn23,10116.ENSRNOP00000052992,Ptpn23
Rai14,10116.ENSRNOP00000048063,Rai14
Tnfrsf1a,10116.ENSRNOP00000042371,Tnfrsf1a
Midn,10116.ENSRNOP00000057429,Midn
Slfn2,10116.ENSRNOP00000052810,Slfn2
Slc7a11,10116.ENSRNOP00000014317,Slc7a11
Mcam,10116.ENSRNOP00000010464,Mcam
Relb,10116.ENSRNOP00000054614,Relb
Map3k6,10116.ENSRNOP00000012463,Map3k6
Eif1a,10116.ENSRNOP00000046345,Eif1a
Taf1d,10116.ENSRNOP00000068730,Taf1d
Stat3,10116.ENSRNOP00000026760,Stat3
Tes,10116.ENSRNOP00000070338,Tes
Fosl1,10116.ENSRNOP00000027891,Fosl1
Il1r1,10116.ENSRNOP00000019673,Il1r1
Ddx3x,10116.ENSRNOP00000074025,Ddx3x
Srxn1,10116.ENSRNOP00000041813,Srxn1
Txnrd1,10116.ENSRNOP00000013612,Txnrd1
Ptpn12,10116.ENSRNOP00000017907,Ptpn12
Il13ra1,10116.ENSRNOP00000017746,Il13ra1
Pdgfra,10116.ENSRNOP00000003077,Pdgfra
Nfkb2,10116.ENSRNOP00000026235,Nfkb2
Adamts1,10116.ENSRNOP00000002187,Adamts1
Dll1,10116.ENSRNOP00000073159,Dll1
Ptpn1,10116.ENSRNOP00000014309,Ptpn1
B3galnt1,10116.ENSRNOP00000016012,B3galnt1
Sh3pxd2b,10116.ENSRNOP00000005478,Sh3pxd2b
Ier5,10116.ENSRNOP00000076350,Ier5
Vmp1,10116.ENSRNOP00000005658,Vmp1
Wee1,10116.ENSRNOP00000013362,Wee1
Ldlr,10116.ENSRNOP00000013496,Ldlr
Tspan4,10116.ENSRNOP00000043060,Tspan4
Stk40,10116.ENSRNOP00000032827,Stk40
Brd2,10116.ENSRNOP00000000535,Brd2
Cyp1b1,10116.ENSRNOP00000071724,Cyp1b1
Col5a2,10116.ENSRNOP00000005073,Col5a2
Nabp1,10116.ENSRNOP00000021403,Nabp1
Gnl3,10116.ENSRNOP00000035860,Gnl3
Ugcg,10116.ENSRNOP00000021110,Ugcg
Lmna,10116.ENSRNOP00000026705,Lmna
Nfkb1,10116.ENSRNOP00000028944,Nfkb1
Yars1,10116.ENSRNOP00000010674,Yars1
Tgfb2,10116.ENSRNOP00000003313,Tgfb2
Ptp4a1,10116.ENSRNOP00000016237,Ptp4a1
Slc1a5,10116.ENSRNOP00000060053,Slc1a5
Zkscan5,10116.ENSRNOP00000073992,Zkscan5
Hsp90ab1,10116.ENSRNOP00000026920,Hsp90ab1
Ccl4,10116.ENSRNOP00000015199,Ccl4
