"ProbeID","GeneSymbol","logFC","P.Value","adj.P.Val"
"10740869","Tnfrsf12a",912.8845,1.84445742517124e-08,0.000538839792189526
"10750848","Nfkbiz",282.55341,6.90840436078701e-08,0.000672740416653439
"10794829","Tubb2a",298.40425,9.53790551759196e-08,0.000695501814008593
"10719616","Pvr",494.22414,1.20272758855498e-07,0.000695501814008593
"10813007","Il6st",551.559,1.64809837047449e-07,0.000695501814008593
"10711575","Dmbt1",142.81542,2.81672250120962e-07,0.000695501814008593
"10821698","Osmr",1084.2403,3.11960479695587e-07,0.000695501814008593
"10896814","Myc",480.94553,3.30539786691673e-07,0.000695501814008593
"10868017","Mdn1",161.31065,3.46848353527163e-07,0.000695501814008593
"10893918","Sbno2",245.6683,3.57329484944552e-07,0.000695501814008593
"10877907","Plin2",723.84395,3.64680420699469e-07,0.000695501814008593
"10889716",NA,456.7537,4.20318019103443e-07,0.000695501814008593
"10821959","Tars1",320.9111,4.91121517796092e-07,0.000695501814008593
"10749372","Socs3",370.28048,5.04433677254094e-07,0.000695501814008593
"10913940",NA,618.9522,5.20267797948824e-07,0.000695501814008593
"10920422","Ptpn23",148.16475,5.41166541927197e-07,0.000695501814008593
"10821924","Rai14",346.5371,5.60089204909892e-07,0.000695501814008593
"10858967","Tnfrsf1a",579.28595,5.73159133786755e-07,0.000695501814008593
"10870845","Kti12",120.5495,5.92160736849879e-07,0.000695501814008593
"10835652",NA,280.11425,6.44045406428159e-07,0.000696857129755268
"10900592","Midn",400.49595,8.39108897518469e-07,0.000875490261860877
"10737824",NA,60.925805,9.72982582427791e-07,0.000980162522863638
"10901536",NA,92.17757,1.09573052235171e-06,0.000984430071220811
"10736795","Slfn2",156.27057,1.10558470349271e-06,0.000984430071220811
"10823057","Slc7a11",112.510008,1.13757947068233e-06,0.000984430071220811
"10829780","Arid5b",188.75415,1.29835189788826e-06,0.00103223223487229
"10818998",NA,161.95765,1.49291402169896e-06,0.00109034975574784
"10852177",NA,72.97726,1.58227364849218e-06,0.00110058434207263
"10927699",NA,419.31235,1.92322673936401e-06,0.00124684883218733
"10909446","Mcam",245.87235,1.92770326255853e-06,0.00124684883218733
"10719486","Relb",58.43517,2.0015603412589e-06,0.00124684883218733
"10880293","Map3k6",114.45164,2.00595245816405e-06,0.00124684883218733
"10749886",NA,120.61324,2.05889405683604e-06,0.00125309439534184
"10801541","Eif1a",491.5604,2.13280769517721e-06,0.0012604183260902
"10908089","Taf1d",363.96625,2.17992958752963e-06,0.0012604183260902
"10747506","Stat3",787.7056,2.20036060212912e-06,0.0012604183260902
"10854357",NA,266.9179,2.42547561295476e-06,0.0013626508568627
"10853797","Tes",609.2735,2.59348400023885e-06,0.00140307484412922
"10801531",NA,139.78205,2.73316230999017e-06,0.00142703620752209
"10713045","Fosl1",345.26428,2.82383330135142e-06,0.00142703620752209
"10922826","Il1r1",219.00645,2.83316560677351e-06,0.00142703620752209
"10936753","Ddx3x",161.7665,3.00340413765898e-06,0.00148714319453507
"10840791","Srxn1",1085.1174,3.16912785963063e-06,0.00154304835485415
"10901413","Txnrd1",656.4108,3.31683143897971e-06,0.00154949956901774
"10853171","Ptpn12",368.99715,3.37738468991242e-06,0.00154949956901774
"10936365","Il13ra1",461.3825,3.39453592172026e-06,0.00154949956901774
"10776459","Pdgfra",266.6755,3.78706685322757e-06,0.00170208263154139
"10715787","Nfkb2",148.7331,4.25774426321667e-06,0.00180346638180183
"10754983","Il13ra1",497.1125,4.25957350394765e-06,0.00180346638180183
"10710166",NA,204.6886,4.81133919123594e-06,0.00197940615234032
"10752839","Adamts1",981.3089,4.88551275321785e-06,0.00197940615234032
"10718283","Dll1",55.534505,4.94614394197451e-06,0.00197940615234032
"10842475","Ptpn1",165.3822,5.01474538661015e-06,0.00197974015843823
"10882523",NA,91.6157,5.33171500065788e-06,0.00207680962705626
"10802601",NA,388.5871,5.76117942484579e-06,0.00217449174043429
"10823605","B3galnt1",142.43556,6.33345417076835e-06,0.0022806367896787
"10732657","Sh3pxd2b",132.99439,6.39723586742112e-06,0.0022806367896787
"10800491","Rpl10-ps14",203.2431,6.44130550355775e-06,0.0022806367896787
"10774100",NA,681.3565,6.56966215851111e-06,0.0022806367896787
"10768814","Ier5",186.56391,6.61628295422408e-06,0.0022806367896787
"10745931","Vmp1",104.80563,6.82246891223445e-06,0.00231757682327927
"10709844","Wee1",247.0432,7.14188721966156e-06,0.00238784277152886
"10908521","Ldlr",634.82815,7.20699206603127e-06,0.00238784277152886
"10712349","Tspan4",133.5544,7.39730561347958e-06,0.00238784277152886
"10872003","Stk40",356.78305,7.42677851799296e-06,0.00238784277152886
"10828364","Brd2",393.6702,7.5904821100234e-06,0.00238784277152886
"10887947","Cyp1b1",124.82226,7.64752892706818e-06,0.00238784277152886
"10930560",NA,1643.557,7.71284401129598e-06,0.00238784277152886
"10927728","Col5a2",138.4772,7.7649436330267e-06,0.00238784277152886
"10923270","Nabp1",530.5044,8.04746303299039e-06,0.00241246208082392
"10790002","Gnl3",143.9831,8.16171127300499e-06,0.00241246208082392
