Gene,Degree,Betweenness,Closeness,Eigenvector
Tp53,459,0.051758703937871395,0.48935896829675024,0.020065704903556216
Actb,390,0.032941751273077746,0.48189948636186125,0.01991267903571841
Rps27a,380,0.031551052528437734,0.4629731627170952,0.06956871970887282
Akt1,362,0.027157920636500927,0.47506928530857667,0.010978016851066485
Il6,331,0.02339001707763808,0.4585471789627535,0.007330173782152118
Gapdh,327,0.018161807451085723,0.47288895712511053,0.021656549538959728
Rpl4,293,0.00455912461550324,0.4329296194782174,0.09837490057436919
Mrto4,290,0.005039747301460106,0.4222197199525004,0.1014695506724108
Eef2,287,0.012345504475959408,0.44095827147995326,0.06755977053610011
Rpl3,273,0.004611341933243788,0.4334692637530423,0.08819821714086519
Rps5,268,0.0025574223153387813,0.4264917575911429,0.08795317686349627
Src,265,0.014846340132386846,0.4497988253463258,0.006753413759519391
Rplp0,264,0.004544612474922578,0.43991235527625316,0.09167362218851842
Rps16,263,0.0020955242264964957,0.42292577299589923,0.09478526642525571
Stat3,260,0.010260474932704607,0.4482767861371294,0.0063494516137960165
Rps9,257,0.0025134224715306773,0.4251231257284574,0.08989901801483173
Egfr,254,0.012649878087138525,0.4462633517431866,0.006574483112360158
Rpsa,253,0.005502298821882001,0.4348922518003791,0.07367370920559593
Fau,252,0.00808890046580308,0.413558158877215,0.07204367022108514
Rps11,251,0.002293371124703485,0.4222197199525004,0.08678061968302424
Casp3,248,0.009702707945571461,0.45133123536129544,0.007230159338214972
Rps13,247,0.001838378507598718,0.4204966346383049,0.0858492243661252
Rpl23,241,0.0027338040549788516,0.42094200858935166,0.07883606405846713
Rps3,238,0.003602524777713038,0.42892472013059285,0.07493198925208519
Rps3a,235,0.0019052999262711306,0.41740521151793325,0.08206980333376071
Rps14,232,0.0013415769834758582,0.4076198878779524,0.08379226557341658
Rpl5,232,0.0021770536074476486,0.42479855470560773,0.07805978181201588
Rplp0l1,232,0.0018794071218583579,0.41771857879384766,0.08654940492422793
Pdcd11,232,0.0028202749856465793,0.40827791822234005,0.08318153006351502
Hif1a,231,0.010021164769357214,0.44726780301720664,0.008263892135547214
Rps23,231,0.001392929640634377,0.4115393098767789,0.08314668701097182
Rpl13a,230,0.003615296010045446,0.428660359748386,0.07756133036479783
Cdk1,229,0.011296675213390618,0.43598271975662517,0.006257758892597727
Rps7,229,0.0012769213585817878,0.413128264741168,0.08222857878590659
Fbl,228,0.0026507868174944125,0.41828382720899493,0.07865293612068855
Rps6,228,0.0029240460440103405,0.42623038681890996,0.08053581415879073
Pten,227,0.010746989772495087,0.44741166528900367,0.008707736554186772
Rpl18,226,0.003137480352269196,0.4204966346383049,0.07748044335477834
Nop56,225,0.00399785621690717,0.40559931983773506,0.07676239388228465
Nop58,224,0.0019515374620619303,0.4042437859295299,0.07799604048275625
Pa2g4,222,0.0021005122279318554,0.39879669363059417,0.08739343837354027
Polr1b,222,0.004475172256442357,0.40115439578471884,0.07159198877545872
Rpl11,221,0.0018998797920550343,0.42145216403075675,0.07590857811570771
Eef1g,218,0.004866736480868856,0.4217077057400372,0.05817986992197921
Rpl7,218,0.0008495583863075346,0.4085177290406792,0.08564683981292168
Polr1a,215,0.002545734937799516,0.3995412515822239,0.07282643710100799
Rsl24d1,214,0.0016105473929230328,0.3838837773929937,0.0858747026241647
Ccna2,213,0.007107973871306238,0.43306440454032147,0.00746760069691315
Gtpbp4,213,0.00221425801603102,0.3880063786285949,0.07646111146680812
Tlr4,212,0.006717931314074028,0.4240216026165257,0.004937502506435263
Snu13,212,0.0019323324784132477,0.3937729277801875,0.07547376869971885
Tgfb1,211,0.00716607712365982,0.4299854304122141,0.005030573474787209
Rpl7l1,209,0.0005579959704306504,0.3945547773035066,0.08490299120324014
Eftud2,208,0.0032494190291217093,0.40074988976764986,0.05778542753742228
Rpp38,208,0.00304270741962026,0.39321635827095763,0.07645910275549299
Rps8,205,0.000582881519584353,0.40272231250246454,0.07884990020286539
Rpf2,204,0.0021315790768993296,0.3829326544758465,0.07396023785186931
Exosc10,204,0.0034011386260993036,0.39045694523045965,0.07371032734679918
Rps28,203,0.0006247700832721467,0.3974861744202065,0.07797840199089116
Rps12,202,0.0007369243581080213,0.3973726231634088,0.07906800722171005
Brca1,201,0.009150045671202933,0.43598271975662517,0.006024932515040267
Eif2s1,200,0.0037761863310584293,0.42196355752571285,0.0594078033000693
Mmp9,200,0.005314280985731105,0.4249283236241065,0.0044188635639996815
Bysl,199,0.0008541873629517467,0.3918317936291585,0.07446711279599486
Cdh1,198,0.008814596226794045,0.4370100117447416,0.017954626439000275
Rps24,197,0.00045599410173653845,0.3979979591941381,0.07680929178819443
Nat10,197,0.0023548219854736784,0.39822584236573505,0.06917301358989661
Noc2l,196,0.0014282702999932166,0.40318923692275727,0.07019284008387859
Rps27,196,0.0012877472254207835,0.40086537964942726,0.0746109696289693
Rps15a,195,0.0004310493345893343,0.3964665433614116,0.07734225334806064
Rps18,194,0.0008337808708022877,0.40984174053727535,0.07580717520402717
Brix1,194,0.0026056743173821693,0.38404275742228394,0.07192772565149706
Pes1,194,0.0009448776104366854,0.3919974263445153,0.0738946146547137
Dhx15,194,0.0026228649241838643,0.38542612008409877,0.05446490593539926
Cd44,193,0.007116702526312469,0.42113317208099077,0.00404304128004626
Nhp2,191,0.0005705275909224618,0.38073159090831055,0.07670710890241608
Rps4x,191,0.0010175538820900837,0.39388443080376967,0.0743295191413204
Cdc42,190,0.010317298623708395,0.4355049678721079,0.004513849883892583
Gnl3,190,0.0017037685370386029,0.40518580465584403,0.06996781754432556
Nip7,189,0.0019069931507429807,0.38779003830039377,0.07126184787092557
Wdr12,189,0.0009774382295942928,0.3890917111562273,0.07092959056818823
Rpl18a,188,0.0005901704550810888,0.40040381905109745,0.07282814873259973
Nifk,188,0.0008676179169235679,0.3785041816009558,0.07236427020904813
Ddx18,188,0.0007621756502088172,0.38135788002289583,0.0687522391377741
Hspa4,187,0.007610658640078438,0.43845638057793934,0.013704541035734612
Bop1,187,0.0005566357663087267,0.38606796208257355,0.0734577308418762
Gart,187,0.015957556481792604,0.42479855470560773,0.03839335376244765
Rpl15,186,0.000672914556782853,0.4027806189035797,0.07121798321495225
Rhoa,186,0.013159384965890909,0.4283303671696729,0.004092375497090439
Ftsj3,185,0.0012597941020476057,0.3874659797725662,0.07116386826405852
